x,u
0.000000, 0.000000
0.050000, 0.034964
0.100000, 0.003851
0.150000, 0.034762
0.200000, 0.007559
0.250000, 0.034357
0.300000, 0.010990
0.350000, 0.033747
0.400000, 0.014027
0.450000, 0.032933
0.500000, 0.016578
0.550000, 0.031915
0.600000, 0.018578
0.650000, 0.030698
0.700000, 0.019993
0.750000, 0.029292
0.800000, 0.020820
0.850000, 0.027712
0.900000, 0.021084
0.950000, 0.025979
1.000000, 0.020834
1.050000, 0.024121
1.100000, 0.020138
1.150000, 0.022167
1.200000, 0.019073
1.250000, 0.020153
1.300000, 0.017722
1.350000, 0.018112
1.400000, 0.016166
1.450000, 0.016073
1.500000, 0.014473
1.550000, 0.014056
1.600000, 0.012695
1.650000, 0.012068
1.700000, 0.010859
1.750000, 0.010092
1.800000, 0.008958
1.850000, 0.008082
1.900000, 0.006948
1.950000, 0.005957
2.000000, 0.004735
2.050000, 0.003588
2.100000, 0.002174
2.150000, 0.000798
2.200000, -0.000940
2.250000, -0.002644
2.300000, -0.004862
2.350000, -0.007017
2.400000, -0.009902
2.450000, -0.012636
2.500000, -0.016399
2.550000, -0.019839
2.600000, -0.024707
2.650000, -0.028950
2.700000, -0.035159
2.750000, -0.040250
2.800000, -0.048034
2.850000, -0.053932
2.900000, -0.063513
2.950000, -0.070062
3.000000, -0.081647
3.050000, -0.088537
3.100000, -0.102321
3.150000, -0.109059
3.200000, -0.125241
3.250000, -0.131119
3.300000, -0.149931
3.350000, -0.154003
3.400000, -0.175751
3.450000, -0.176816
3.500000, -0.201937
3.550000, -0.198527
3.600000, -0.227656
3.650000, -0.218026
3.700000, -0.252073
3.750000, -0.234199
3.800000, -0.274419
3.850000, -0.245998
3.900000, -0.294061
3.950000, -0.252517
4.000000, -0.310556
4.050000, -0.253047
4.100000, -0.323686
4.150000, -0.247129
4.200000, -0.333475
4.250000, -0.234576
4.300000, -0.340170
4.350000, -0.215485
4.400000, -0.344213
4.450000, -0.190226
4.500000, -0.346179
4.550000, -0.159423
4.600000, -0.346710
4.650000, -0.123917
4.700000, -0.346439
4.750000, -0.084727
4.800000, -0.345916
4.850000, -0.043007
4.900000, -0.345547
4.950000, 0.000000
