x,u
0.000000, 0.000000
0.050000, -0.069833
0.100000, -0.007576
0.150000, -0.067666
0.200000, -0.016517
0.250000, -0.063467
0.300000, -0.026431
0.350000, -0.057743
0.400000, -0.035034
0.450000, -0.051310
0.500000, -0.039721
0.550000, -0.044796
0.600000, -0.039379
0.650000, -0.038284
0.700000, -0.034905
0.750000, -0.031574
0.800000, -0.028285
0.850000, -0.024709
0.900000, -0.021357
0.950000, -0.018167
1.000000, -0.015198
1.050000, -0.012555
1.100000, -0.010224
1.150000, -0.008208
1.200000, -0.006510
1.250000, -0.005099
1.300000, -0.003944
1.350000, -0.003016
1.400000, -0.002281
1.450000, -0.001706
1.500000, -0.001262
1.550000, -0.000925
1.600000, -0.000671
1.650000, -0.000482
1.700000, -0.000343
1.750000, -0.000242
1.800000, -0.000169
1.850000, -0.000117
1.900000, -0.000081
1.950000, -0.000055
2.000000, -0.000037
2.050000, -0.000025
2.100000, -0.000017
2.150000, -0.000012
2.200000, -0.000008
2.250000, -0.000003
2.300000, -0.000001
2.350000, -0.000002
2.400000, -0.000006
2.450000, -0.000007
2.500000, 0.000002
2.550000, 0.000021
2.600000, 0.000033
2.650000, 0.000002
2.700000, -0.000101
2.750000, -0.000254
2.800000, -0.000308
2.850000, 0.000089
2.900000, 0.001550
2.950000, 0.004962
3.000000, 0.011443
3.050000, 0.022249
3.100000, 0.038638
3.150000, 0.061713
3.200000, 0.092267
3.250000, 0.130634
3.300000, 0.176583
3.350000, 0.229238
3.400000, 0.287072
3.450000, 0.347952
3.500000, 0.409269
3.550000, 0.468117
3.600000, 0.521538
3.650000, 0.566775
3.700000, 0.601516
3.750000, 0.624094
3.800000, 0.633623
3.850000, 0.630030
3.900000, 0.614038
3.950000, 0.587016
4.000000, 0.550878
4.050000, 0.507780
4.100000, 0.460093
4.150000, 0.409963
4.200000, 0.359575
4.250000, 0.310421
4.300000, 0.264215
4.350000, 0.221386
4.400000, 0.183380
4.450000, 0.149224
4.500000, 0.120833
4.550000, 0.095203
4.600000, 0.076180
4.650000, 0.057211
4.700000, 0.046781
4.750000, 0.031479
4.800000, 0.029428
4.850000, 0.013779
4.900000, 0.021478
4.950000, 0.000000
