x,u
0.000000, 0.000000
0.050000, 0.002995
0.100000, 0.000993
0.150000, 0.003253
0.200000, 0.002027
0.250000, 0.003765
0.300000, 0.003136
0.350000, 0.004526
0.400000, 0.004351
0.450000, 0.005527
0.500000, 0.005692
0.550000, 0.006753
0.600000, 0.007168
0.650000, 0.008183
0.700000, 0.008773
0.750000, 0.009787
0.800000, 0.010489
0.850000, 0.011529
0.900000, 0.012284
0.950000, 0.013364
1.000000, 0.014114
1.050000, 0.015241
1.100000, 0.015922
1.150000, 0.017106
1.200000, 0.017645
1.250000, 0.018901
1.300000, 0.019214
1.350000, 0.020575
1.400000, 0.020560
1.450000, 0.022083
1.500000, 0.021613
1.550000, 0.023390
1.600000, 0.022306
1.650000, 0.024478
1.700000, 0.022579
1.750000, 0.025350
1.800000, 0.022377
1.850000, 0.026031
1.900000, 0.021650
1.950000, 0.026572
2.000000, 0.020349
2.050000, 0.027049
2.100000, 0.018429
2.150000, 0.027566
2.200000, 0.015840
2.250000, 0.028250
2.300000, 0.012523
2.350000, 0.029253
2.400000, 0.008408
2.450000, 0.030742
2.500000, 0.003410
2.550000, 0.032900
2.600000, -0.002576
2.650000, 0.035909
2.700000, -0.009678
2.750000, 0.039947
2.800000, -0.018046
2.850000, 0.045169
2.900000, -0.027849
2.950000, 0.051693
3.000000, -0.039273
3.050000, 0.059582
3.100000, -0.052517
3.150000, 0.068826
3.200000, -0.067777
3.250000, 0.079318
3.300000, -0.085238
3.350000, 0.090843
3.400000, -0.105053
3.450000, 0.103063
3.500000, -0.127326
3.550000, 0.115516
3.600000, -0.152086
3.650000, 0.127619
3.700000, -0.179264
3.750000, 0.138692
3.800000, -0.208670
3.850000, 0.147982
3.900000, -0.239969
3.950000, 0.154717
4.000000, -0.272674
4.050000, 0.158150
4.100000, -0.306137
4.150000, 0.157624
4.200000, -0.339560
4.250000, 0.152634
4.300000, -0.372020
4.350000, 0.142876
4.400000, -0.402508
4.450000, 0.128296
4.500000, -0.429980
4.550000, 0.109114
4.600000, -0.453421
4.650000, 0.085829
4.700000, -0.471912
4.750000, 0.059202
4.800000, -0.484694
4.850000, 0.030212
4.900000, -0.491226
4.950000, 0.000000
