x,u
0.000000, 0.000000
0.031416, -0.000000
0.062832, -0.000000
0.094248, -0.000000
0.125664, 0.000000
0.157080, 0.000000
0.188496, 0.000001
0.219911, 0.000000
0.251327, -0.000002
0.282743, -0.000005
0.314159, -0.000008
0.345575, -0.000006
0.376991, 0.000011
0.408407, 0.000062
0.439823, 0.000171
0.471239, 0.000374
0.502655, 0.000712
0.534071, 0.001231
0.565487, 0.001976
0.596903, 0.002984
0.628319, 0.004280
0.659734, 0.005870
0.691150, 0.007739
0.722566, 0.009848
0.753982, 0.012136
0.785398, 0.014520
0.816814, 0.016905
0.848230, 0.019184
0.879646, 0.021248
0.911062, 0.022990
0.942478, 0.024308
0.973894, 0.025115
1.005310, 0.025339
1.036726, 0.024927
1.068142, 0.023852
1.099557, 0.022112
1.130973, 0.019733
1.162389, 0.016771
1.193805, 0.013310
1.225221, 0.009459
1.256637, 0.005346
1.288053, 0.001113
1.319469, -0.003092
1.350885, -0.007125
1.382301, -0.010853
1.413717, -0.014164
1.445133, -0.016969
1.476549, -0.019207
1.507964, -0.020847
1.539380, -0.021890
1.570796, -0.022359
1.602212, -0.022301
1.633628, -0.021781
1.665044, -0.020874
1.696460, -0.019660
1.727876, -0.018228
1.759292, -0.016649
1.790708, -0.015010
1.822124, -0.013347
1.853540, -0.011719
1.884956, -0.010076
1.916372, -0.008416
1.947787, -0.006515
1.979203, -0.004289
2.010619, -0.001227
2.042035, 0.002792
2.073451, 0.008681
2.104867, 0.016399
2.136283, 0.027401
2.167699, 0.041045
2.199115, 0.059606
2.230531, 0.081053
2.261947, 0.109125
2.293363, 0.139114
2.324779, 0.177602
2.356194, 0.215070
2.387610, 0.263602
2.419026, 0.305277
2.450442, 0.362417
2.481858, 0.402662
2.513274, 0.466572
2.544690, 0.497411
2.576106, 0.566928
2.607522, 0.578160
2.638938, 0.654229
2.670354, 0.633595
2.701770, 0.720916
2.733186, 0.654208
2.764602, 0.762808
2.796017, 0.633871
2.827433, 0.780186
2.858849, 0.570826
2.890265, 0.777822
2.921681, 0.467855
2.953097, 0.763825
2.984513, 0.331684
3.015929, 0.747540
3.047345, 0.171936
3.078761, 0.737060
3.110177, 0.000000
