x,u
0.000000, 0.000000
0.050000, -0.228788
0.100000, -0.056275
0.150000, -0.235234
0.200000, -0.110912
0.250000, -0.247316
0.300000, -0.162313
0.350000, -0.263521
0.400000, -0.208966
0.450000, -0.281835
0.500000, -0.249506
0.550000, -0.300000
0.600000, -0.282785
0.650000, -0.315785
0.700000, -0.307946
0.750000, -0.327239
0.800000, -0.324494
0.850000, -0.332886
0.900000, -0.332343
0.950000, -0.331846
1.000000, -0.331831
1.050000, -0.323862
1.100000, -0.323703
1.150000, -0.309268
1.200000, -0.309046
1.250000, -0.288879
1.300000, -0.289200
1.350000, -0.263857
1.400000, -0.265641
1.450000, -0.235559
1.500000, -0.239867
1.550000, -0.205393
1.600000, -0.213280
1.650000, -0.174692
1.700000, -0.187103
1.750000, -0.144631
1.800000, -0.162311
1.850000, -0.116165
1.900000, -0.139607
1.950000, -0.090009
2.000000, -0.119415
2.050000, -0.066643
2.100000, -0.101907
2.150000, -0.046328
2.200000, -0.087045
2.250000, -0.029147
2.300000, -0.074630
2.350000, -0.015037
2.400000, -0.064359
2.450000, -0.003832
2.500000, -0.055876
2.550000, 0.004710
2.600000, -0.048814
2.650000, 0.010877
2.700000, -0.042836
2.750000, 0.014980
2.800000, -0.037652
2.850000, 0.017342
2.900000, -0.033035
2.950000, 0.018281
3.000000, -0.028823
3.050000, 0.018102
3.100000, -0.024916
3.150000, 0.017092
3.200000, -0.021268
3.250000, 0.015510
3.300000, -0.017868
3.350000, 0.013586
3.400000, -0.014734
3.450000, 0.011513
3.500000, -0.011893
3.550000, 0.009448
3.600000, -0.009374
3.650000, 0.007509
3.700000, -0.007197
3.750000, 0.005776
3.800000, -0.005370
3.850000, 0.004295
3.900000, -0.003885
3.950000, 0.003083
4.000000, -0.002717
4.050000, 0.002132
4.100000, -0.001832
4.150000, 0.001416
4.200000, -0.001188
4.250000, 0.000901
4.300000, -0.000738
4.350000, 0.000548
4.400000, -0.000437
4.450000, 0.000317
4.500000, -0.000246
4.550000, 0.000173
4.600000, -0.000132
4.650000, 0.000089
4.700000, -0.000066
4.750000, 0.000042
4.800000, -0.000033
4.850000, 0.000016
4.900000, -0.000019
4.950000, 0.000000
