x,u
0.000000, 0.000000
0.050000, 0.171825
0.100000, 0.028507
0.150000, 0.173628
0.200000, 0.056612
0.250000, 0.177111
0.300000, 0.083921
0.350000, 0.182034
0.400000, 0.110045
0.450000, 0.188059
0.500000, 0.134614
0.550000, 0.194769
0.600000, 0.157280
0.650000, 0.201697
0.700000, 0.177726
0.750000, 0.208356
0.800000, 0.195673
0.850000, 0.214266
0.900000, 0.210891
0.950000, 0.218984
1.000000, 0.223204
1.050000, 0.222130
1.100000, 0.232500
1.150000, 0.223402
1.200000, 0.238734
1.250000, 0.222597
1.300000, 0.241932
1.350000, 0.219609
1.400000, 0.242188
1.450000, 0.214438
1.500000, 0.239662
1.550000, 0.207175
1.600000, 0.234575
1.650000, 0.198002
1.700000, 0.227196
1.750000, 0.187167
1.800000, 0.217834
1.850000, 0.174972
1.900000, 0.206823
1.950000, 0.161755
2.000000, 0.194511
2.050000, 0.147865
2.100000, 0.181248
2.150000, 0.133650
2.200000, 0.167370
2.250000, 0.119440
2.300000, 0.153195
2.350000, 0.105533
2.400000, 0.139010
2.450000, 0.092185
2.500000, 0.125068
2.550000, 0.079607
2.600000, 0.111582
2.650000, 0.067958
2.700000, 0.098726
2.750000, 0.057346
2.800000, 0.086634
2.850000, 0.047834
2.900000, 0.075402
2.950000, 0.039439
3.000000, 0.065090
3.050000, 0.032143
3.100000, 0.055729
3.150000, 0.025896
3.200000, 0.047321
3.250000, 0.020627
3.300000, 0.039847
3.350000, 0.016247
3.400000, 0.033272
3.450000, 0.012659
3.500000, 0.027544
3.550000, 0.009761
3.600000, 0.022603
3.650000, 0.007453
3.700000, 0.018385
3.750000, 0.005640
3.800000, 0.014819
3.850000, 0.004235
3.900000, 0.011836
3.950000, 0.003158
4.000000, 0.009367
4.050000, 0.002342
4.100000, 0.007347
4.150000, 0.001730
4.200000, 0.005713
4.250000, 0.001272
4.300000, 0.004410
4.350000, 0.000931
4.400000, 0.003388
4.450000, 0.000675
4.500000, 0.002604
4.550000, 0.000480
4.600000, 0.002020
4.650000, 0.000328
4.700000, 0.001608
4.750000, 0.000204
4.800000, 0.001346
4.850000, 0.000098
4.900000, 0.001219
4.950000, 0.000000
