x,u
0.000000, 0.000000
0.050000, 0.008265
0.100000, -0.003719
0.150000, 0.007876
0.200000, -0.007816
0.250000, 0.006954
0.300000, -0.012688
0.350000, 0.005222
0.400000, -0.018761
0.450000, 0.002284
0.500000, -0.026492
0.550000, -0.002349
0.600000, -0.036349
0.650000, -0.009216
0.700000, -0.048779
0.750000, -0.018848
0.800000, -0.064152
0.850000, -0.031701
0.900000, -0.082700
0.950000, -0.048078
1.000000, -0.104456
1.050000, -0.068058
1.100000, -0.129194
1.150000, -0.091436
1.200000, -0.156398
1.250000, -0.117689
1.300000, -0.185255
1.350000, -0.145979
1.400000, -0.214690
1.450000, -0.175188
1.500000, -0.243424
1.550000, -0.203996
1.600000, -0.270080
1.650000, -0.230987
1.700000, -0.293295
1.750000, -0.254768
1.800000, -0.311841
1.850000, -0.274094
1.900000, -0.324737
1.950000, -0.287980
2.000000, -0.331336
2.050000, -0.295781
2.100000, -0.331374
2.150000, -0.297236
2.200000, -0.324986
2.250000, -0.292481
2.300000, -0.312672
2.350000, -0.282006
2.400000, -0.295241
2.450000, -0.266600
2.500000, -0.273722
2.550000, -0.247258
2.600000, -0.249271
2.650000, -0.225093
2.700000, -0.223069
2.750000, -0.201236
2.800000, -0.196241
2.850000, -0.176758
2.900000, -0.169782
2.950000, -0.152605
3.000000, -0.144515
3.050000, -0.129554
3.100000, -0.121063
3.150000, -0.108191
3.200000, -0.099850
3.250000, -0.088910
3.300000, -0.081108
3.350000, -0.071926
3.400000, -0.064908
3.450000, -0.057299
3.500000, -0.051190
3.550000, -0.044965
3.600000, -0.039797
3.650000, -0.034772
3.700000, -0.030508
3.750000, -0.026505
3.800000, -0.023067
3.850000, -0.019921
3.900000, -0.017207
3.950000, -0.014768
4.000000, -0.012667
4.050000, -0.010799
4.100000, -0.009205
4.150000, -0.007792
4.200000, -0.006608
4.250000, -0.005545
4.300000, -0.004690
4.350000, -0.003889
4.400000, -0.003297
4.450000, -0.002681
4.500000, -0.002305
4.550000, -0.001806
4.600000, -0.001618
4.650000, -0.001170
4.700000, -0.001162
4.750000, -0.000696
4.800000, -0.000885
4.850000, -0.000324
4.900000, -0.000755
4.950000, 0.000000
