x,u
0.000000, 0.000000
0.050000, 0.026120
0.100000, 0.003898
0.150000, 0.026211
0.200000, 0.007678
0.250000, 0.026376
0.300000, 0.011230
0.350000, 0.026582
0.400000, 0.014452
0.450000, 0.026785
0.500000, 0.017261
0.550000, 0.026932
0.600000, 0.019591
0.650000, 0.026970
0.700000, 0.021399
0.750000, 0.026848
0.800000, 0.022664
0.850000, 0.026525
0.900000, 0.023389
0.950000, 0.025971
1.000000, 0.023596
1.050000, 0.025172
1.100000, 0.023324
1.150000, 0.024129
1.200000, 0.022630
1.250000, 0.022858
1.300000, 0.021577
1.350000, 0.021389
1.400000, 0.020236
1.450000, 0.019759
1.500000, 0.018678
1.550000, 0.018011
1.600000, 0.016967
1.650000, 0.016187
1.700000, 0.015159
1.750000, 0.014322
1.800000, 0.013293
1.850000, 0.012436
1.900000, 0.011384
1.950000, 0.010530
2.000000, 0.009421
2.050000, 0.008573
2.100000, 0.007351
2.150000, 0.006501
2.200000, 0.005081
2.250000, 0.004206
2.300000, 0.002464
2.350000, 0.001530
2.400000, -0.000701
2.450000, -0.001729
2.500000, -0.004670
2.550000, -0.005822
2.600000, -0.009753
2.650000, -0.011031
2.700000, -0.016297
2.750000, -0.017655
2.800000, -0.024667
2.850000, -0.025980
2.900000, -0.035223
2.950000, -0.036245
3.000000, -0.048284
3.050000, -0.048603
3.100000, -0.064089
3.150000, -0.063080
3.200000, -0.082767
3.250000, -0.079537
3.300000, -0.104300
3.350000, -0.097641
3.400000, -0.128511
3.450000, -0.116856
3.500000, -0.155048
3.550000, -0.136441
3.600000, -0.183406
3.650000, -0.155478
3.700000, -0.212943
3.750000, -0.172920
3.800000, -0.242930
3.850000, -0.187648
3.900000, -0.272597
3.950000, -0.198557
4.000000, -0.301194
4.050000, -0.204628
4.100000, -0.328035
4.150000, -0.205019
4.200000, -0.352548
4.250000, -0.199133
4.300000, -0.374300
4.350000, -0.186675
4.400000, -0.393003
4.450000, -0.167694
4.500000, -0.408511
4.550000, -0.142590
4.600000, -0.420791
4.650000, -0.112103
4.700000, -0.429887
4.750000, -0.077281
4.800000, -0.435882
4.850000, -0.039423
4.900000, -0.438855
4.950000, 0.000000
