x,u
0.000000, 0.000000
0.050000, -0.000000
0.100000, -0.000000
0.150000, 0.000000
0.200000, 0.000002
0.250000, 0.000004
0.300000, 0.000005
0.350000, 0.000000
0.400000, -0.000017
0.450000, -0.000061
0.500000, -0.000150
0.550000, -0.000309
0.600000, -0.000572
0.650000, -0.000971
0.700000, -0.001545
0.750000, -0.002325
0.800000, -0.003340
0.850000, -0.004605
0.900000, -0.006124
0.950000, -0.007888
1.000000, -0.009873
1.050000, -0.012046
1.100000, -0.014363
1.150000, -0.016779
1.200000, -0.019246
1.250000, -0.021717
1.300000, -0.024153
1.350000, -0.026516
1.400000, -0.028773
1.450000, -0.030895
1.500000, -0.032853
1.550000, -0.034619
1.600000, -0.036163
1.650000, -0.037457
1.700000, -0.038470
1.750000, -0.039174
1.800000, -0.039544
1.850000, -0.039564
1.900000, -0.039222
1.950000, -0.038525
2.000000, -0.037473
2.050000, -0.036107
2.100000, -0.034436
2.150000, -0.032540
2.200000, -0.030410
2.250000, -0.028186
2.300000, -0.025797
2.350000, -0.023478
2.400000, -0.021018
2.450000, -0.018833
2.500000, -0.016433
2.550000, -0.014598
2.600000, -0.012292
2.650000, -0.011017
2.700000, -0.008704
2.750000, -0.008242
2.800000, -0.005639
2.850000, -0.006369
2.900000, -0.002929
2.950000, -0.005490
3.000000, -0.000279
3.050000, -0.005762
3.100000, 0.002744
3.150000, -0.007474
3.200000, 0.006739
3.250000, -0.011114
3.300000, 0.012509
3.350000, -0.017428
3.400000, 0.021098
3.450000, -0.027455
3.500000, 0.033807
3.550000, -0.042517
3.600000, 0.052155
3.650000, -0.064134
3.700000, 0.077746
3.750000, -0.093836
3.800000, 0.112013
3.850000, -0.132812
3.900000, 0.155884
3.950000, -0.181365
4.000000, 0.209451
4.050000, -0.238145
4.100000, 0.271781
4.150000, -0.299328
4.200000, 0.340912
4.250000, -0.358062
4.300000, 0.414026
4.350000, -0.404632
4.400000, 0.487687
4.450000, -0.427715
4.500000, 0.558068
4.550000, -0.416750
4.600000, 0.621158
4.650000, -0.364942
4.700000, 0.672975
4.750000, -0.271989
4.800000, 0.709908
4.850000, -0.145450
4.900000, 0.729149
4.950000, 0.000000
