x,u
0.000000, 0.000000
0.050000, -0.000132
0.100000, 0.000157
0.150000, -0.000310
0.200000, 0.000504
0.250000, -0.000852
0.300000, 0.001391
0.350000, -0.002245
0.400000, 0.003544
0.450000, -0.005481
0.500000, 0.008277
0.550000, -0.012182
0.600000, 0.017423
0.650000, -0.024135
0.700000, 0.032252
0.750000, -0.041378
0.800000, 0.050664
0.850000, -0.058765
0.900000, 0.063965
0.950000, -0.064562
1.000000, 0.059537
1.050000, -0.049369
1.100000, 0.036618
1.150000, -0.025712
1.200000, 0.021461
1.250000, -0.026470
1.300000, 0.038807
1.350000, -0.052160
1.400000, 0.059864
1.450000, -0.060464
1.500000, 0.058343
1.550000, -0.055533
1.600000, 0.044498
1.650000, -0.020838
1.700000, 0.004499
1.750000, -0.009372
1.800000, -0.011463
1.850000, 0.028963
1.900000, 0.094860
1.950000, 0.185227
2.000000, 0.301555
2.050000, 0.428256
2.100000, 0.546132
2.150000, 0.648491
2.200000, 0.738897
2.250000, 0.819263
2.300000, 0.883156
2.350000, 0.918549
2.400000, 0.915115
2.450000, 0.869869
2.500000, 0.788378
2.550000, 0.682273
2.600000, 0.565293
2.650000, 0.449820
2.700000, 0.344866
2.750000, 0.255535
2.800000, 0.183522
2.850000, 0.128085
2.900000, 0.087077
2.950000, 0.057787
3.000000, 0.037505
3.050000, 0.023847
3.100000, 0.014877
3.150000, 0.009118
3.200000, 0.005498
3.250000, 0.003264
3.300000, 0.001911
3.350000, 0.001103
3.400000, 0.000629
3.450000, 0.000355
3.500000, 0.000198
3.550000, 0.000109
3.600000, 0.000060
3.650000, 0.000032
3.700000, 0.000017
3.750000, 0.000009
3.800000, 0.000005
3.850000, 0.000003
3.900000, 0.000001
3.950000, 0.000001
4.000000, 0.000000
4.050000, 0.000000
4.100000, 0.000000
4.150000, 0.000000
4.200000, 0.000000
4.250000, 0.000000
4.300000, 0.000000
4.350000, 0.000000
4.400000, 0.000000
4.450000, 0.000000
4.500000, 0.000000
4.550000, 0.000000
4.600000, 0.000000
4.650000, 0.000000
4.700000, 0.000000
4.750000, 0.000000
4.800000, 0.000000
4.850000, 0.000000
4.900000, 0.000000
4.950000, 0.000000
