x,u
0.000000, 0.000000
0.050000, -0.000000
0.100000, 0.000000
0.150000, -0.000000
0.200000, 0.000000
0.250000, -0.000000
0.300000, 0.000000
0.350000, -0.000000
0.400000, 0.000000
0.450000, -0.000000
0.500000, -0.000000
0.550000, -0.000000
0.600000, 0.000000
0.650000, -0.000000
0.700000, 0.000000
0.750000, 0.000001
0.800000, 0.000002
0.850000, 0.000000
0.900000, -0.000002
0.950000, -0.000013
1.000000, -0.000032
1.050000, -0.000077
1.100000, -0.000147
1.150000, -0.000276
1.200000, -0.000456
1.250000, -0.000747
1.300000, -0.001118
1.350000, -0.001669
1.400000, -0.002313
1.450000, -0.003223
1.500000, -0.004194
1.550000, -0.005538
1.600000, -0.006827
1.650000, -0.008646
1.700000, -0.010159
1.750000, -0.012472
1.800000, -0.014011
1.850000, -0.016858
1.900000, -0.018107
1.950000, -0.021611
2.000000, -0.022103
2.050000, -0.026557
2.100000, -0.025600
2.150000, -0.031581
2.200000, -0.028142
2.250000, -0.036661
2.300000, -0.029185
2.350000, -0.041906
2.400000, -0.028084
2.450000, -0.047601
2.500000, -0.024076
2.550000, -0.054270
2.600000, -0.016290
2.650000, -0.062718
2.700000, -0.003774
2.750000, -0.074045
2.800000, 0.014460
2.850000, -0.089584
2.900000, 0.039350
2.950000, -0.110748
3.000000, 0.071661
3.050000, -0.138781
3.100000, 0.111778
3.150000, -0.174425
3.200000, 0.159454
3.250000, -0.217557
3.300000, 0.213514
3.350000, -0.266844
3.400000, 0.271610
3.450000, -0.319542
3.500000, 0.330118
3.550000, -0.371508
3.600000, 0.384279
3.650000, -0.417537
3.700000, 0.428667
3.750000, -0.452027
3.800000, 0.457962
3.850000, -0.469917
3.900000, 0.467931
3.950000, -0.467722
4.000000, 0.456389
4.050000, -0.444404
4.100000, 0.423872
4.150000, -0.401821
4.200000, 0.373780
4.250000, -0.344556
4.300000, 0.311880
4.350000, -0.279105
4.400000, 0.245239
4.450000, -0.212587
4.500000, 0.180904
4.550000, -0.151294
4.600000, 0.124714
4.650000, -0.099434
4.700000, 0.080628
4.750000, -0.058374
4.800000, 0.050719
4.850000, -0.026547
4.900000, 0.035709
4.950000, 0.000000
