x,u
0.000000, -1777996.855960
0.031416, -31076830.364908
0.062832, 19479890.133222
0.094248, 36310387.197363
0.125664, -44185209.286109
0.157080, -33183743.196298
0.188496, 72360380.266174
0.219911, 21133806.172266
0.251327, -100335608.242787
0.282743, -1738056.531692
0.314159, 124917490.066802
0.345575, -22008468.284175
0.376991, -142984136.589108
0.408407, 45812778.702713
0.439823, 151167325.717820
0.471239, -64001342.349743
0.502655, -146409818.205393
0.534071, 70380062.047056
0.565487, 127055511.652271
0.596903, -60461969.084322
0.628319, -93590741.874456
0.659734, 34078861.705843
0.691150, 48654062.948618
0.722566, 3338539.509794
0.753982, 3338539.509794
0.785398, -41976983.929029
0.816814, -56552185.171804
0.848230, 71117418.408494
0.879646, 104246191.198628
0.911062, -83271289.537966
0.942478, -139946739.143181
0.973894, 76843141.109268
1.005310, 159251616.964917
1.036726, -55917051.102646
1.068142, -161271598.117753
1.099557, 27525317.174069
1.130973, 148500985.479002
1.162389, 1575027.128024
1.193805, -125080519.470469
1.225221, -26482967.759374
1.256637, 94986446.655679
1.288053, 43759872.561771
1.319469, -61784250.900701
1.350885, -50782784.810891
1.382301, 29712811.672581
1.413717, 46543308.736721
1.445133, -4013411.761409
1.476549, -33312245.270357
1.507964, -10944933.202855
1.539380, 16770924.673836
1.570796, 14441963.728413
1.602212, -3369706.832538
1.633628, -10186051.653302
1.665044, -3286296.484652
1.696460, 3917567.830805
1.727876, 3924260.497863
1.759292, 176010.755358
1.790708, -1889179.594686
1.822124, -1224810.429516
1.853540, 143025.857258
1.884956, 658051.758865
1.916372, 365943.028042
1.947787, -40736.067478
1.979203, -181980.922238
2.010619, -111290.572417
2.042035, -8256.021285
2.073451, 36348.819994
2.104867, 30302.169171
2.136283, 10223.790405
2.167699, -2388.606533
2.199115, -5388.221613
2.230531, -3475.636784
2.261947, -1251.560743
2.293363, -363.819084
2.324779, 1265.255352
2.356194, -1035.605378
2.387610, 622.003701
2.419026, 3427.565737
2.450442, -9288.780213
2.481858, 10744.334126
2.513274, 4680.808773
2.544690, -39929.555970
2.576106, 63103.384874
2.607522, -7587.386746
2.638938, -148832.341326
2.670354, 257846.732779
2.701770, -34262.002216
2.733186, -549287.904562
2.764602, 818548.382093
2.796017, 154179.216906
2.827433, -1911011.133141
2.858849, 1837238.609363
2.890265, 1843931.276422
2.921681, -5359933.039035
2.953097, 1539822.129614
2.984513, 8356166.950379
3.015929, -9455503.610572
3.047345, -7126542.665148
3.078761, 20589315.211542
3.110177, -1777996.855960
