x,u
0.000000, -849150365018370377000622852407296.000000
0.031416, 1389226005014783225067052239683584.000000
0.062832, -1947228255649191076659934858838016.000000
0.094248, 2501014364796708262243607706075136.000000
0.125664, -3005216364901664419178531835084800.000000
0.157080, 3400669466852663614890149175885824.000000
0.188496, -3629912950573464325651163894513664.000000
0.219911, 3654123268527950523899037083500544.000000
0.251327, -3465902779560244076586065211686912.000000
0.282743, 3093376121664951965138553552240640.000000
0.314159, -2593986891563911764962329531252736.000000
0.345575, 2040171039832083585816620016074752.000000
0.376991, -1502031868763587588251739624570880.000000
0.408407, 1032878173511599462531421008035840.000000
0.439823, -661756158697012294373877099790336.000000
0.471239, 393917689714026845732852843151360.000000
0.502655, -217162333762107519322134719496192.000000
0.534071, 110471400168097362080249608667136.000000
0.565487, -51639041099451938330070965288960.000000
0.596903, 22072715100835431593251906256896.000000
0.628319, -8578469716455777672587353522176.000000
0.659734, 3011033000529954129547314069504.000000
0.691150, -946820051512558358448062857216.000000
0.722566, 264117275199321382167422959616.000000
0.753982, -64565713479617364862988976128.000000
0.785398, 13618659414277292832910737408.000000
0.816814, -2428441812401702766007812096.000000
0.848230, 355986710948991492568383488.000000
0.879646, -41191531871302783548260352.000000
0.911062, 3527796209204399920119808.000000
0.942478, -198814464171199820726272.000000
0.973894, 5530709837851826061312.000000
1.005310, 0.000000
1.036726, 0.000000
1.068142, 0.000000
1.099557, 0.000000
1.130973, 0.000000
1.162389, 0.000000
1.193805, -0.000300
1.225221, 0.048417
1.256637, -3.859720
1.288053, 202.403043
1.319469, -7853.303770
1.350885, 240441.481798
1.382301, -6049693.085932
1.413717, 128639061.388163
1.445133, -2359361542.091653
1.476549, 37909388966.081680
1.507964, -540170896106.806519
1.539380, 6893124082658.712891
1.570796, -79415689837452.062500
1.602212, 831621790430384.000000
1.633628, -7960612939773493.000000
1.665044, 69997201668034224.000000
1.696460, -567741031720837120.000000
1.727876, 4263230291793553920.000000
1.759292, -29732493836641054720.000000
1.790708, 193128364338652479488.000000
1.822124, -1171275334045644619776.000000
1.853540, 6646974429711994716160.000000
1.884956, -35366246523005812342784.000000
1.916372, 176729482441197503905792.000000
1.947787, -830725230138766311555072.000000
1.979203, 3678194305719087432466432.000000
2.010619, -15359465956791444305870848.000000
2.042035, 60556142250498503921893376.000000
2.073451, -225633650594385519165046784.000000
2.104867, 795219595146724026452279296.000000
2.136283, -2652995812684197399525064704.000000
2.167699, 8383765331326965076363051008.000000
2.199115, -25109738973361303510017114112.000000
2.230531, 71310955234109860995068329984.000000
2.261947, -192112902122366886755302375424.000000
2.293363, 491116594442124702436296753152.000000
2.324779, -1191652349984543332615998930944.000000
2.356194, 2744915236104849089529039028224.000000
2.387610, -6003012708343356328316401352704.000000
2.419026, 12464835050979479455092300578816.000000
2.450442, -24573459039799710873620825767936.000000
2.481858, 45990009226506858083233258536960.000000
2.513274, -81696255805289632828945095196672.000000
2.544690, 137712916098711307035621149638656.000000
2.576106, -220211984811161290972860497526784.000000
2.607522, 333908209919519502477607974207488.000000
2.638938, -479870223688810178292959963774976.000000
2.670354, 653257104548110370041780596899840.000000
2.701770, -841822522431141532718071690559488.000000
2.733186, 1026124887682900399995280921985024.000000
2.764602, -1182054617326356676999048652128256.000000
2.796017, 1285521897204285738272479988678656.000000
2.827433, -1318180619212210072523062871326720.000000
2.858849, 1272344051238087848103759962963968.000000
2.890265, -1153217330545322579510574482194432.000000
2.921681, 977391929300297489453476896309248.000000
2.953097, -767939281687822153654626733260800.000000
2.984513, 547784639159671300498747773943808.000000
3.015929, -333703807760591210738749865459712.000000
3.047345, 132973720102075751199450893123584.000000
3.078761, 56377282602966260452408179032064.000000
3.110177, -242096419783502381913490556190720.000000
