x,u
0.000000, 0.086765
0.031416, 0.060912
0.062832, -0.020794
0.094248, 0.024547
0.125664, 0.037844
0.157080, -0.025683
0.188496, -0.040537
0.219911, 0.032031
0.251327, 0.040217
0.282743, -0.034330
0.314159, -0.037417
0.345575, 0.033734
0.376991, 0.033142
0.408407, -0.031031
0.439823, -0.028200
0.471239, 0.026928
0.502655, 0.023136
0.534071, -0.021953
0.565487, -0.018232
0.596903, 0.016426
0.628319, 0.013537
0.659734, -0.010473
0.691150, -0.008908
0.722566, 0.004060
0.753982, 0.004060
0.785398, 0.002946
0.816814, 0.001381
0.848230, -0.010713
0.879646, -0.007824
0.911062, 0.019352
0.942478, 0.015631
0.973894, -0.028813
1.005310, -0.025021
1.036726, 0.038755
1.068142, 0.035924
1.099557, -0.048406
1.130973, -0.047815
1.162389, 0.056438
1.193805, 0.059525
1.225221, -0.060911
1.256637, -0.069097
1.288053, 0.059374
1.319469, 0.073771
1.350885, -0.049183
1.382301, -0.070302
1.413717, 0.029243
1.445133, 0.054555
1.476549, 0.007351
1.507964, -0.031968
1.539380, -0.029946
1.570796, -0.025491
1.602212, 0.098104
1.633628, 0.042571
1.665044, -0.111334
1.696460, -0.096142
1.727876, 0.099042
1.759292, 0.132257
1.790708, -0.080863
1.822124, -0.105776
1.853540, 0.037111
1.884956, 0.034055
1.916372, 0.031455
1.947787, 0.041325
1.979203, -0.089989
2.010619, -0.072327
2.042035, 0.061881
2.073451, 0.061260
2.104867, -0.014921
2.136283, 0.047928
2.167699, -0.057634
2.199115, -0.085439
2.230531, 0.006165
2.261947, -0.018848
2.293363, 0.161809
2.324779, 0.203885
2.356194, -0.133526
2.387610, -0.181496
2.419026, -0.285779
2.450442, -0.255620
2.481858, 0.340298
2.513274, 0.356627
2.544690, 0.654689
2.576106, 0.680330
2.607522, 0.866762
2.638938, 0.874047
2.670354, 1.138221
2.701770, 1.123992
2.733186, 0.920090
2.764602, 0.952228
2.796017, 0.890363
2.827433, 0.826011
2.858849, 1.123591
2.890265, 1.223618
2.921681, 1.235004
2.953097, 1.150445
2.984513, 0.746955
3.015929, 0.761009
3.047345, 0.292812
3.078761, 0.265216
3.110177, 0.086765
