x,u
0.000000, 0.001789
0.031416, -0.030990
0.062832, 0.021995
0.094248, 0.049657
0.125664, -0.044183
0.157080, -0.057095
0.188496, 0.057154
0.219911, 0.053478
0.251327, -0.059471
0.282743, -0.042736
0.314159, 0.053745
0.345575, 0.029545
0.376991, -0.043936
0.408407, -0.017580
0.439823, 0.033556
0.471239, 0.008989
0.502655, -0.024915
0.534071, -0.004560
0.565487, 0.019065
0.596903, 0.004142
0.628319, -0.016033
0.659734, -0.007011
0.691150, 0.015103
0.722566, 0.012092
0.753982, -0.014999
0.785398, -0.018009
0.816814, 0.013985
0.848230, 0.023008
0.879646, -0.009924
0.911062, -0.024847
0.942478, 0.000419
0.973894, 0.020774
1.005310, 0.016770
1.036726, -0.007797
1.068142, -0.042837
1.099557, -0.016481
1.130973, 0.076399
1.162389, 0.052199
1.193805, -0.111466
1.225221, -0.094731
1.256637, 0.135751
1.288053, 0.132075
1.319469, -0.131469
1.350885, -0.144381
1.382301, 0.082203
1.413717, 0.109864
1.445133, 0.010818
1.476549, -0.021962
1.507964, -0.106372
1.539380, -0.083623
1.570796, 0.117805
1.602212, 0.114896
1.633628, 0.022493
1.665044, 0.016953
1.696460, -0.186337
1.727876, -0.202908
1.759292, -0.058545
1.790708, -0.023737
1.822124, 0.678760
1.853540, 0.712621
1.884956, 0.881293
1.916372, 0.868411
1.947787, 0.942745
1.979203, 0.963615
2.010619, 1.130203
2.042035, 1.124283
2.073451, 0.882251
2.104867, 0.865870
2.136283, 0.945802
2.167699, 0.971356
2.199115, 1.243555
2.230531, 1.259670
2.261947, 0.955352
2.293363, 0.959671
2.324779, 0.388777
2.356194, 0.389942
2.387610, 0.099601
2.419026, 0.060224
2.450442, 0.014139
2.481858, 0.001912
2.513274, -0.020832
2.544690, 0.020490
2.576106, 0.014570
2.607522, -0.017475
2.638938, 0.003394
2.670354, 0.000935
2.701770, -0.011947
2.733186, 0.008182
2.764602, 0.042043
2.796017, -0.042437
2.827433, -0.007629
2.858849, 0.012135
2.890265, -0.004437
2.921681, -0.000146
2.953097, -0.005686
2.984513, 0.010678
3.015929, 0.007769
3.047345, -0.015098
3.078761, 0.007652
3.110177, 0.001789
