x,u
0.000000, -0.046325
0.031416, -0.023398
0.062832, 0.036681
0.094248, 0.004739
0.125664, -0.021083
0.157080, 0.013125
0.188496, 0.004237
0.219911, -0.027004
0.251327, 0.010329
0.282743, 0.035616
0.314159, -0.020712
0.345575, -0.039111
0.376991, 0.026393
0.408407, 0.038418
0.439823, -0.027741
0.471239, -0.034687
0.502655, 0.025523
0.534071, 0.028934
0.565487, -0.020556
0.596903, -0.021864
0.628319, 0.013507
0.659734, 0.013828
0.691150, -0.004843
0.722566, -0.004872
0.753982, -0.005130
0.785398, -0.005159
0.816814, 0.016144
0.848230, 0.016466
0.879646, -0.027794
0.911062, -0.029103
0.942478, 0.039307
0.973894, 0.042718
1.005310, -0.049307
1.036726, -0.056253
1.068142, 0.055617
1.099557, 0.067642
1.130973, -0.055233
1.162389, -0.073633
1.193805, 0.044675
1.225221, 0.069962
1.256637, -0.020958
1.288053, -0.052198
1.319469, -0.016599
1.350885, 0.017609
1.382301, 0.063830
1.413717, 0.031889
1.445133, -0.109318
1.476549, -0.086391
1.507964, 0.134235
1.539380, 0.126461
1.570796, -0.117821
1.602212, -0.127337
1.633628, 0.051462
1.665044, 0.073153
1.696460, 0.041165
1.727876, 0.019608
1.759292, -0.094347
1.790708, -0.085487
1.822124, 0.035195
1.853540, 0.039370
1.884956, 0.105996
1.916372, 0.115035
1.947787, -0.121376
1.979203, -0.125857
2.010619, -0.269290
2.042035, -0.214054
2.073451, 0.405066
2.104867, 0.451922
2.136283, 0.815746
2.167699, 0.773882
2.199115, 0.868405
2.230531, 0.896041
2.261947, 1.110075
2.293363, 1.143284
2.324779, 0.980457
2.356194, 0.920542
2.387610, 0.852214
2.419026, 0.876229
2.450442, 1.182224
2.481858, 1.193167
2.513274, 1.203442
2.544690, 1.107447
2.576106, 0.637072
2.607522, 0.646593
2.638938, 0.202078
2.670354, 0.195562
2.701770, 0.040086
2.733186, 0.030663
2.764602, 0.004654
2.796017, -0.003898
2.827433, 0.002743
2.858849, 0.002429
2.890265, -0.019127
2.921681, 0.014069
2.953097, 0.035760
2.984513, -0.033470
3.015929, -0.042986
3.047345, 0.045687
3.078761, 0.037914
3.110177, -0.046325
